channel,month,spend_usd,impressions,clicks,conversions,revenue_usd
Search,Jan,12000,480000,9600,384,46080
Search,Feb,12500,495000,9900,410,50020
Search,Mar,13000,510000,10200,428,52316
Social,Jan,9000,720000,7200,180,19800
Social,Feb,11000,880000,8800,231,26565
Social,Mar,14000,1120000,11200,313,37560
Email,Jan,2000,90000,4500,315,34650
Email,Feb,2100,94000,4700,338,37518
Email,Mar,2200,98000,4900,362,40544
Display,Jan,6000,900000,4500,90,8100
Display,Feb,6000,910000,4550,86,7654
Display,Mar,6000,905000,4525,79,7031
Affiliate,Jan,4000,120000,3600,216,25920
Affiliate,Feb,4200,126000,3780,230,27600
Affiliate,Mar,4400,132000,3960,248,29760
